code,term,snomed_id,obj_type,vpid,bnf_code,bnf_name,form_route
92511000001106,Tenoxicam 20mg tablets (A A H Pharmaceuticals Ltd),92511000001106,amp,329914002,100101040AAAAAA,Tenoxicam 20mg tablets,tablet.oral
565511000001103,Tenoxicam 20mg tablets (Sandoz Ltd),565511000001103,amp,329914002,100101040AAAAAA,Tenoxicam 20mg tablets,tablet.oral
602711000001108,Tenoxicam 20mg tablets (Alliance Healthcare (Distribution) Ltd),602711000001108,amp,329914002,100101040AAAAAA,Tenoxicam 20mg tablets,tablet.oral
753111000001104,Tenoxicam 20mg tablets (Kent Pharmaceuticals Ltd),753111000001104,amp,329914002,100101040AAAAAA,Tenoxicam 20mg tablets,tablet.oral
15229011000001105,Tenoxicam 20mg tablets (Sigma Pharmaceuticals Plc),15229011000001105,amp,329914002,100101040AAAAAA,Tenoxicam 20mg tablets,tablet.oral
21786211000001109,Tenoxicam 20mg tablets (Waymade Healthcare Plc),21786211000001109,amp,329914002,100101040AAAAAA,Tenoxicam 20mg tablets,tablet.oral
213111000001102,Mobiflex 20mg tablets (Mylan),213111000001102,amp,329914002,100101040BBAAAA,Mobiflex 20mg tablets,tablet.oral
589011000001106,Emflex 60mg capsules (Merck Serono Ltd),589011000001106,amp,329907004,100101050BBAAAA,Emflex 60mg capsules,capsule.oral
56411000001103,Synflex 275mg tablets (Roche Products Ltd),56411000001103,amp,322299000,100101070BBAAAA,Synflex 275mg tablets,tablet.oral
10961711000001107,Aceclofenac 100mg tablets (Sandoz Ltd),10961711000001107,amp,329925006,100101080AAAAAA,Aceclofenac 100mg tablets,tablet.oral
10961811000001104,Aceclofenac 100mg tablets (A A H Pharmaceuticals Ltd),10961811000001104,amp,329925006,100101080AAAAAA,Aceclofenac 100mg tablets,tablet.oral
10985211000001100,Aceclofenac 100mg tablets (Alliance Healthcare (Distribution) Ltd),10985211000001100,amp,329925006,100101080AAAAAA,Aceclofenac 100mg tablets,tablet.oral
13435511000001107,Aceclofenac 100mg tablets (Mylan),13435511000001107,amp,329925006,100101080AAAAAA,Aceclofenac 100mg tablets,tablet.oral
15058911000001106,Aceclofenac 100mg tablets (Sigma Pharmaceuticals Plc),15058911000001106,amp,329925006,100101080AAAAAA,Aceclofenac 100mg tablets,tablet.oral
15166111000001109,Aceclofenac 100mg tablets (Actavis UK Ltd),15166111000001109,amp,329925006,100101080AAAAAA,Aceclofenac 100mg tablets,tablet.oral
17748811000001101,Aceclofenac 100mg tablets (Phoenix Healthcare Distribution Ltd),17748811000001101,amp,329925006,100101080AAAAAA,Aceclofenac 100mg tablets,tablet.oral
19700711000001109,Aceclofenac 100mg tablets (DE Pharmaceuticals),19700711000001109,amp,329925006,100101080AAAAAA,Aceclofenac 100mg tablets,tablet.oral
21748411000001104,Aceclofenac 100mg tablets (Waymade Healthcare Plc),21748411000001104,amp,329925006,100101080AAAAAA,Aceclofenac 100mg tablets,tablet.oral
27840711000001109,Aceclofenac 100mg tablets (Accord Healthcare Ltd),27840711000001109,amp,329925006,100101080AAAAAA,Aceclofenac 100mg tablets,tablet.oral
