code,term,snomed_id,obj_type,vpid,bnf_code,bnf_name,form_route
7311000001104,Sulfasalazine 500mg tablets (A A H Pharmaceuticals Ltd),7311000001104,amp,317431008,0105010E0AAAAAA,Sulfasalazine 500mg tablets,tablet.oral
236111000001102,Sulfasalazine 500mg tablets (Mylan),236111000001102,amp,317431008,0105010E0AAAAAA,Sulfasalazine 500mg tablets,tablet.oral
236511000001106,Sulfasalazine 500mg tablets (Kent Pharmaceuticals Ltd),236511000001106,amp,317431008,0105010E0AAAAAA,Sulfasalazine 500mg tablets,tablet.oral
245311000001106,Sulfasalazine 500mg tablets (Actavis UK Ltd),245311000001106,amp,317431008,0105010E0AAAAAA,Sulfasalazine 500mg tablets,tablet.oral
681011000001104,Sulfasalazine 500mg tablets (Alliance Healthcare (Distribution) Ltd),681011000001104,amp,317431008,0105010E0AAAAAA,Sulfasalazine 500mg tablets,tablet.oral
7036811000001101,Sulfasalazine 500mg tablets (IVAX Pharmaceuticals UK Ltd),7036811000001101,amp,317431008,0105010E0AAAAAA,Sulfasalazine 500mg tablets,tablet.oral
10649711000001102,Sulfasalazine 500mg tablets (Teva UK Ltd),10649711000001102,amp,317431008,0105010E0AAAAAA,Sulfasalazine 500mg tablets,tablet.oral
11427611000001108,Sulfasalazine 500mg tablets (Almus Pharmaceuticals Ltd),11427611000001108,amp,317431008,0105010E0AAAAAA,Sulfasalazine 500mg tablets,tablet.oral
13725511000001102,Sulfasalazine 500mg tablets (Ranbaxy (UK) Ltd),13725511000001102,amp,317431008,0105010E0AAAAAA,Sulfasalazine 500mg tablets,tablet.oral
17802411000001105,Sulfasalazine 500mg tablets (Phoenix Healthcare Distribution Ltd),17802411000001105,amp,317431008,0105010E0AAAAAA,Sulfasalazine 500mg tablets,tablet.oral
20327211000001107,Sulfasalazine 500mg tablets (Genesis Pharmaceuticals Ltd),20327211000001107,amp,317431008,0105010E0AAAAAA,Sulfasalazine 500mg tablets,tablet.oral
21903411000001108,Sulfasalazine 500mg tablets (Waymade Healthcare Plc),21903411000001108,amp,317431008,0105010E0AAAAAA,Sulfasalazine 500mg tablets,tablet.oral
28917711000001101,Sulfasalazine 500mg tablets (Crescent Pharma Ltd),28917711000001101,amp,317431008,0105010E0AAAAAA,Sulfasalazine 500mg tablets,tablet.oral
30118011000001101,Sulfasalazine 500mg tablets (DE Pharmaceuticals),30118011000001101,amp,317431008,0105010E0AAAAAA,Sulfasalazine 500mg tablets,tablet.oral
140911000001101,Sulfasalazine 500mg gastro-resistant tablets (A A H Pharmaceuticals Ltd),140911000001101,amp,330040008,0105010E0AAABAB,Sulfasalazine 500mg gastro-resistant tablets,tabletgastro-resistant.oral
180711000001106,Sulfasalazine 500mg gastro-resistant tablets (Kent Pharmaceuticals Ltd),180711000001106,amp,330040008,0105010E0AAABAB,Sulfasalazine 500mg gastro-resistant tablets,tabletgastro-resistant.oral
215611000001109,Sulfasalazine 500mg gastro-resistant tablets (Actavis UK Ltd),215611000001109,amp,330040008,0105010E0AAABAB,Sulfasalazine 500mg gastro-resistant tablets,tabletgastro-resistant.oral
422811000001105,Sulfasalazine 500mg gastro-resistant tablets (Alliance Healthcare (Distribution) Ltd),422811000001105,amp,330040008,0105010E0AAABAB,Sulfasalazine 500mg gastro-resistant tablets,tabletgastro-resistant.oral
9104011000001107,Sulfasalazine 500mg gastro-resistant tablets (Mylan),9104011000001107,amp,330040008,0105010E0AAABAB,Sulfasalazine 500mg gastro-resistant tablets,tabletgastro-resistant.oral
15177111000001102,Sulfasalazine 500mg gastro-resistant tablets (Sigma Pharmaceuticals Plc),15177111000001102,amp,330040008,0105010E0AAABAB,Sulfasalazine 500mg gastro-resistant tablets,tabletgastro-resistant.oral
17801611000001102,Sulfasalazine 500mg gastro-resistant tablets (Phoenix Healthcare Distribution Ltd),17801611000001102,amp,330040008,0105010E0AAABAB,Sulfasalazine 500mg gastro-resistant tablets,tabletgastro-resistant.oral
21299311000001104,Sulfasalazine 500mg gastro-resistant tablets (Teva UK Ltd),21299311000001104,amp,330040008,0105010E0AAABAB,Sulfasalazine 500mg gastro-resistant tablets,tabletgastro-resistant.oral
21902411000001104,Sulfasalazine 500mg gastro-resistant tablets (Waymade Healthcare Plc),21902411000001104,amp,330040008,0105010E0AAABAB,Sulfasalazine 500mg gastro-resistant tablets,tabletgastro-resistant.oral
